"249180020","WARSZOWICE","2022","01",47.7,"",10,"",8.2,"","03","",0,""
"249180020","WARSZOWICE","2022","02",42.0,"",8,"",7.0,"","17","",0,""
"249180020","WARSZOWICE","2022","03",29.4,"",2,"",12.0,"","31","",0,""
"249180020","WARSZOWICE","2022","04",43.8,"",2,"",11.4,"","08","",0,""
"249180020","WARSZOWICE","2022","05",47.2,"",0,"",12.8,"","25","",0,""
"249180020","WARSZOWICE","2022","06",80.3,"",0,"",22.0,"","08","",0,""
"249180020","WARSZOWICE","2022","07",84.0,"",0,"",23.5,"","05","",0,""
"249180020","WARSZOWICE","2022","08",127.4,"",0,"",73.0,"","21","",0,""
"249180020","WARSZOWICE","2022","09",77.9,"",0,"",31.4,"","08","",0,""
"249180020","WARSZOWICE","2022","10",29.5,"",0,"",10.3,"","03","",0,""
"249180020","WARSZOWICE","2022","11",17.6,"",3,"",5.8,"","16","",0,""
"249180020","WARSZOWICE","2022","12",94.3,"",9,"",10.0,"","11","16",0,""
"249180040","WIS£A WIELKA","2022","01",36.6,"",12,"",7.6,"","03","",0,""
"249180040","WIS£A WIELKA","2022","02",34.2,"",6,"",7.0,"","17","",0,""
"249180040","WIS£A WIELKA","2022","03",29.8,"",4,"",12.1,"","31","",0,""
"249180040","WIS£A WIELKA","2022","04",54.3,"",4,"",11.4,"","08","",0,""
"249180040","WIS£A WIELKA","2022","05",41.2,"",0,"",9.4,"","27","",0,""
"249180040","WIS£A WIELKA","2022","06",71.3,"",0,"",17.3,"","08","",0,""
"249180040","WIS£A WIELKA","2022","07",93.5,"",0,"",24.4,"","30","",0,""
"249180040","WIS£A WIELKA","2022","08",160.3,"",0,"",61.2,"","21","",0,""
"249180040","WIS£A WIELKA","2022","09",61.2,"",0,"",9.2,"","17","",0,""
"249180040","WIS£A WIELKA","2022","10",28.3,"",0,"",12.3,"","03","",0,""
"249180040","WIS£A WIELKA","2022","11",19.7,"",3,"",5.5,"","16","",0,""
"249180040","WIS£A WIELKA","2022","12",85.8,"",9,"",11.0,"","16","",0,""
"249180050","GOCZA£KOWICE-ZDR”J","2022","01",41.5,"",11,"",8.0,"","03","",0,""
"249180050","GOCZA£KOWICE-ZDR”J","2022","02",38.6,"",5,"",7.1,"","17","",0,""
"249180050","GOCZA£KOWICE-ZDR”J","2022","03",28.1,"",3,"",10.6,"","31","",0,""
"249180050","GOCZA£KOWICE-ZDR”J","2022","04",53.6,"",3,"",8.1,"","24","",0,""
"249180050","GOCZA£KOWICE-ZDR”J","2022","05",33.4,"",0,"",7.5,"","27","",0,""
"249180050","GOCZA£KOWICE-ZDR”J","2022","06",78.3,"",0,"",21.7,"","08","",0,""
"249180050","GOCZA£KOWICE-ZDR”J","2022","07",121.4,"",0,"",52.8,"","05","",0,""
"249180050","GOCZA£KOWICE-ZDR”J","2022","08",101.7,"",0,"",29.2,"","21","",0,""
"249180050","GOCZA£KOWICE-ZDR”J","2022","09",54.1,"",0,"",8.3,"","18","",0,""
"249180050","GOCZA£KOWICE-ZDR”J","2022","10",16.1,"",0,"",4.8,"","03","",0,""
"249180050","GOCZA£KOWICE-ZDR”J","2022","11",21.3,"",3,"",5.5,"","16","",0,""
"249180050","GOCZA£KOWICE-ZDR”J","2022","12",92.3,"",9,"",10.6,"","11","",0,""
"249180060","GO£KOWICE","2022","01",29.7,"",6,"",6.2,"","03","",0,""
"249180060","GO£KOWICE","2022","02",27.7,"",9,"",4.1,"","02","25",0,""
"249180060","GO£KOWICE","2022","03",26.5,"",2,"",12.1,"","15","",0,""
"249180060","GO£KOWICE","2022","04",40.3,"",2,"",13.6,"","08","",0,""
"249180060","GO£KOWICE","2022","05",54.9,"",0,"",17.2,"","25","",0,""
"249180060","GO£KOWICE","2022","06",88.5,"",0,"",25.2,"","09","",0,""
"249180060","GO£KOWICE","2022","07",72.7,"",0,"",21.1,"","30","",0,""
"249180060","GO£KOWICE","2022","08",182.8,"",0,"",48.1,"","28","",0,""
"249180060","GO£KOWICE","2022","09",99.9,"",0,"",44.6,"","08","",0,""
"249180060","GO£KOWICE","2022","10",23.2,"",0,"",4.2,"","18","",0,""
"249180060","GO£KOWICE","2022","11",17.3,"",2,"",5.7,"","16","",0,""
"249180060","GO£KOWICE","2022","12",86.0,"",8,"",10.2,"","05","16",0,""
